料號;TAG3;TAG9;TAG10;TAG4;TAG8;TAG5
1300274C;操作箱(F);Operation box;;2tSPCC;RAL 7021;1300274C
1300275;操作箱(M 8.4");Opteration box;;;RAL 7021;1300275
1300275A;操作箱(M 8.4");Opteration box;;;RAL 7021;1300275A
1300275B;操作箱(M70 8.4");Opteration box;;;RAL 7021;1300275B
1300275C;操作箱(M);Opteration box;;;RAL 7021;1300275C
1300276;操作箱(P);Operation box;;;;1300276
1300276A;操作箱(P);Operation box;;;RAL 7024;1300276A
1300276B;操作箱(P);Operation box;;;RAL 7024;1300276B
1300277;刀庫飾鈑;Tool magazine plate;;;RAL 7021;1300277
1300278;前飾鈑;Front plate;;;;1300278
1300278A;前飾鈑;Front plate;;;RAL 7024;1300278A
1300278B;前飾鈑;Front plate;;;RAL 7024;1300278B
1300279;左右飾鈑;Left/Right plate;;;RAL 7021;1300279
1300279A;左右飾鈑;Left/Right plate;;;RAL 7021;1300279A
1300279B;左右飾鈑;Left/Right plate;;;RAL 7021;1300279B
1300280;蓋鈑(一);Cover-1;;;RAL 9002;1300280
1300281;蓋鈑(二);Cover-2;;;RAL 9002;1300281
1300281A;蓋鈑(二);Cover-2;;;RAL 9002;1300281A
1300281B;蓋鈑(二);Cover-2;;2tSPCC;RAL 9002;1300281B
1300282;蓋鈑(三);Cover-3;;;RAL 9002;1300282
1300282A;蓋鈑(三);Cover-3;;;RAL 9002;1300282A
1300283;前門壓克力;Acrylic window;;;;1300283
1300284;前門壓克力;Acrylic window;;;;1300284
1300285;定位轉軸;Fixed axis;;;;1300285
1300286;左箱架;Left tank bracket;;;;1300286
1300287;右箱架;Right tank bracket;;;;1300287
1300288;左護罩;Left guard cover;;;;1300288
1300288A;左護罩;Left guard cover;;;RAL 7040;1300288A
1300288B;左護罩;Left guard cover;;;RAL 7040;1300288B
1300288C;左護罩;Left guard cover;;;RAL 7040;1300288C
1300289;右護罩;Right guard cover;;;;1300289
1300289A;右護罩;Right guard cover;;;RAL 7040;1300289A
1300289B;右護罩;Right guard cover;;;;1300289B
1300289C;右護罩;Right guard cover;;;;1300289C
1300289D;右護罩;Right guard cover;;;;1300289D
1300289E;右護罩;Right guard cover;;;;1300289E
1300289F;右護罩;Right guard cover;;;;1300289F
1300289G;右護罩;Right guard cover;;;;1300289G
1300290;左前門;Left front door;;;;1300290
1300290A;左前門;Left front door;;;;1300290A
1300290B;左前門;Left front door;;;RAL 7024;1300290B
1300290C;左前門;Left front door;;;RAL 7021;1300290C
1300290D;左前門;Left front door;;2tSPCC;RAL 7021;1300290D
1300291;右前門;Right front door;;;RAL 7021;1300291
1300291A;右前門;Right front door;;;RAL 7021;1300291A
1300291B;右前門;Right front door;;;RAL 7021;1300291B
1300291C;右前門;Right front door;;;RAL 7021;1300291C
1300291D;右前門;Right front door;;;RAL 7021;1300291D
1300292;踏鈑;Plate;;2t不鏽鋼鈑;;1300292
1300293;前飾鈑;Front plate;;;;1300293
1300293A;前飾鈑;Front plate;;;RAL 7024;1300293A
1300293B;前飾鈑;Front plate;;;RAL 7024;1300293B
1300294;蓋鈑(一);Cover-1;;;RAL 9002;1300294
1300295;刀庫下護罩(BT-30同步);Tool magazine cover;;;RAL 7040;1300295
1300295A;刀庫下護罩(BT-30同步);Tool magazine cover;;;噴漆RAL7040;1300295A
1300296;ATC防屑罩;;;;;1300296
1300296A;ATC防屑罩;ATC cvoer;;;RAL 9002;1300296A
1300297;介面座防屑罩;;;;;1300297
1300298;左防屑支架;;;;;1300298
1300299;右防屑支架;Left fixed cover;;;;1300299
1300300;左防屑罩;;;;;1300300
1300301;右防屑罩;;;;;1300301
1300302;箱架防屑蓋;Cover;;;;1300302
1300303;刀庫下護罩(BT-40同步);Tool magazine cover;;;;1300303
1300304;刀庫罩(無刀庫);;;;;1300304
1300304A;刀庫罩(無刀庫);;;;RAL 7021;1300304A
1300305;左前門(YCM/印尼);Left front door;;;;1300305
1300306;右前門(YCM/印尼);Right front door;;;;1300306
1300306A;右前門(YCM/印尼);Right front door;;;;1300306A
1300307;左側門(YCM/印尼);Left side door;;;;1300307
1300308;右側門(YCM/印尼);Right side door;;;;1300308
1300309;左前門(YCM/印尼);Left front door;;;;1300309
1300309A;左前門(YCM/印尼);Left front door;;;;1300309A
1300309B;左前門(YCM/印尼);Left front door;;;;1300309B
1300309C;左前門(YCM/印尼);Left front door;;;;1300309C
1300310;右前門(YCM/印尼);Right front door;;;;1300310
1300310A;右前門(YCM/印尼);Right front door;;;;1300310A
1300310B;右前門(YCM/印尼);Right front door;;;;1300310B
1300310C;右前門(YCM/印尼);Right front door;;;;1300310C
1300311;左護罩(加高150);Left guard cover;;;;1300311
1300311A;左護罩(加高150);Left guard cover;;;RAL 7040;1300311A
1300311B;左護罩(加高150);Left guard cover;;;RAL 7040;1300311B
1300311C;左護罩(加高150);Left guard cover;;;RAL 7040;1300311C
1300312;右護罩(加高150);Right guard cover;;;;1300312
1300312A;右護罩(加高150);Right guard cover;;;RAL 7040;1300312A
1300312B;右護罩(加高150);Right guard cover;;;;1300312B
1300312C;右護罩(加高150);Right guard cover;;;;1300312C
1300312D;右護罩(加高150);Right guard cover;;;;1300312D
1300312E;右護罩(加高150);Right guard cover;;;;1300312E
1300312F;右護罩(加高150);Right guard cover;;;;1300312F
1300312G;右護罩(加高150);Right guard cover;;2tSPCC;RAL 9002;1300312G
1300312H;右護罩(加高150);Right guard cover;;2tSPCC;;1300312H
1300313;左前門(加高150);Left front door;;;;1300313
1300313A;左前門(加高150);Left front door;;;RAL 7024;1300313A
1300313B;左前門(加高150);Left front door;;;RAL 7021;1300313B
1300314;右前門(加高150);Right front door;;;;1300314
1300314A;右前門(加高150);Right front door;;;RAL 7024;1300314A
1300314B;右前門(加高150);Right front door;;;RAL 7024;1300314B
1300314C;右前門(加高150);Right front door;;;RAL 7024;1300314C
1300315;左後蓋鈑(加高150);Left back cover;;;;1300315
1300316;右後蓋鈑(加高150);Right back cover;;;;1300316
1300317;左護罩(加高150);Left guard cover;;;;1300317
1300317A;左護罩(加高150);Left guard cover;;;RAL 7040;1300317A
1300317B;左護罩(加高150);Left guard cover;;;RAL 7040;1300317B
1300317C;左護罩(加高150);Left guard cover;;;RAL 7040;1300317C
1300318;右護罩(加高150);Right guard cover;;;;1300318
1300318A;右護罩(加高150);Right guard cover;;;RAL 7040;1300318A
1300318B;右護罩(加高150);Right guard cover;;;;1300318B
1300318C;右護罩(加高150);Right guard cover;;;;1300318C
1300318D;右護罩(加高150);Right guard cover;;;;1300318D
1300318E;右護罩(加高150);Right guard cover;;;;1300318E
1300318F;右護罩(加高150);Right guard cover;;;;1300318F
1300318G;右護罩(加高150);Right guard cover;;2tSPCC;RAL 9002;1300318G
1300318H;右護罩(加高150);Right guard cover;;2tSPCC;RAL 9002;1300318H
1300319;左前門(加高150);Left front door;;;;1300319
1300319A;左前門(加高150);Left front door;;;RAL 7024;1300319A
1300319B;左前門(加高150);Left front door;;;RAL 7021;1300319B
1300319C;左前門(加高150);Left front door;;;RAL 7021;1300319C
1300320;右前門(加高150);Right front door;;;;1300320
1300320A;右前門(加高150);Right front door;;;RAL 7024;1300320A
1300320B;右前門(加高150);Right front door;;;RAL 7024;1300320B
1300320C;右前門(加高150);Right front door;;;RAL 7024;1300320C
1300321;左前門(MATEC);Left front door;;;;1300321
1300321A;左前門(MATEC);Left front door;;;RAL 7040;1300321A
1300322;右前門(MATEC);Right front door;;;;1300322
1300322A;右前門(MATEC);Right front door;;;RAL 7040;1300322A
1300322B;右前門(MATEC);Right front door;;;RAL 7040;1300322B
1300322C;右前門(MATEC);Right front door;;;;1300322C
1300323;左側門(MATEC);Left side door;;;;1300323
1300323A;左側門(MATEC);Left side door;;;RAL 7040;1300323A
1300324;右側門(MATEC);Right side door;;;;1300324
1300324A;右側門(MATEC);Right side door;;;RAL 7040;1300324A
1300325;左前門(MATEC);Left front door;;;;1300325
1300325A;左前門(MATEC);Left front door;;;RAL 7024;1300325A
1300326;右前門(MATEC);Right front door;;;;1300326
1300326A;右前門(MATEC);Right front door;;;RAL 7024;1300326A
1300326B;右前門(MATEC);Right front door;;;RAL 7024;1300326B
1300326C;右前門(MATEC);Right front door;;;RAL 7024;1300326C
1300327;刀庫罩(限高);;;;;1300327
1300328;操作箱(H);Operation box(H);;;;1300328
1300328A;操作箱(H);Operation box(H);;;RAL 7024;1300328A
1300328B;操作箱(H);Operation box(H);;;RAL 7024;1300328B
1300329;右護罩(H);Right guard cover(H);;;;1300329
1300329A;右護罩(H);Right guard cover(H);;;RAL 7040;1300329A
1300329B;右護罩(H);Right guard cover(H);;;;1300329B
1300329C;右護罩(H);Right guard cover(H);;;;1300329C
1300329D;右護罩(H);Right guard cover(H);;;;1300329D
1300329E;右護罩(H);Right guard cover(H);;;;1300329E
1300329F;右護罩(H);Right guard cover(H);;;;1300329F
1300329G;右護罩(H);Right guard cover(H);;;;1300329G
1300330;右護罩(H);Right guard cover(H);;;;1300330
1300330A;右護罩(H);Right guard cover(H);;;RAL 7040;1300330A
1300330B;右護罩(H);Right guard cover(H);;;;1300330B
1300330C;右護罩(H);Right guard cover(H);;;;1300330C
1300330D;右護罩(H);Right guard cover(H);;;;1300330D
1300330E;右護罩(H);Right guard cover(H);;;;1300330E
1300330F;右護罩(H);Right guard cover(H);;2tSPCC;RAL 9002;1300330F
1300330G;右護罩(H);Right guard cover(H);;2tSPCC;;1300330G
1300331;操作箱(M720);Operation box;;;;1300331
1300331A;操作箱(M720);Operation box;;;RAL 7024;1300331A
1300331B;操作箱(M720);Operation box;;;RAL 7021;1300331B
1300332;操作箱(F);Operation box;;;RAL 7021;1300332
1300332A;操作箱(F);Operation box;;;RAL 7021;1300332A
1300332B;操作箱(F);Operation box;;2tSPCC;RAL 7021;1300332B
1300333;左防屑蓋;Left cover;;;噴漆 白;1300333
1300333A;左防屑蓋;Left cover;;;;1300333A
1300334;右防屑蓋;;;;噴漆 白;1300334
1300334A;右防屑蓋;;;;;1300334A
1300335;集油盒;;;;噴漆294U;1300335
1300336;左箱架;Left tank bracket;;;RAL 7021;1300336
1300336A;左箱架;Left tank bracket;;;;1300336A
1300336B;左箱架;Left tank bracket;;;;1300336B
1300337;右箱架;Right tank bracket;;;RAL 7021;1300337
1300337A;右箱架;Right tank bracket;;;;1300337A
1300337B;右箱架;Right tank bracket;;;;1300337B
1300338;左箱架;;;;RAL 7021;1300338
1300338A;左箱架;Left tank bracket;;;;1300338A
1300338B;左箱架;Left tank bracket;;;;1300338B
1300338C;左箱架;Left tank bracket;;2tSPCC;RAL 7021;1300338C
1300339;右箱架;;;;RAL 7021;1300339
1300339A;右箱架;Right tank bracket;;;;1300339A
1300339B;右箱架;Right tank bracket;;;;1300339B
1300339C;右箱架;Right tank bracket;;2tSPCC;RAL 7021;1300339C
1300340;擋水鈑;;;;RAL 7021;1300340
1300340A;擋水鈑;;;;RAL 7021;1300340A
1300341;介面鈑;;;;;1300341
1300342;Y軸擋水鈑(左);Cover of Y-axis (Left);;;RAL 7021;1300342
1300342A;Y軸擋水鈑(左);Cover of Y-axis (Left);;;RAL 7021;1300342A
1300342B;Y軸擋水鈑(左);Cover of Y-axis (Left);;;RAL 7021;1300342B
1300343;Y軸擋水鈑(右);Cover of Y axis(Right);;;RAL 7021;1300343
1300343A;Y軸擋水鈑(右);Cover of Y axis(Right);;;RAL 7021;1300343A
1300343B;Y軸擋水鈑(右);Cover of Y axis(Right);;;RAL 7021;1300343B
1300343C;Y軸擋水鈑(右);Cover of Y axis(Right);;;RAL 7021;1300343C
1300344;水箱;Water tank;;;RAL 7021;1300344
1300345;泵浦蓋鈑;;;;RAL 7021;1300345
1300346;中央蓋板(圓盤式);;;;;1300346
1300346A;中央蓋鈑(圓盤式);Cover(Disc type);;;;1300346A
1300347;中央蓋鈑(履帶式);;;;RAL 7021;1300347
1300348;集屑鈑;;;;RAL 7021;1300348
1300349;集屑盒;;;;染黑;1300349
1300350;集屑盒蓋鈑;;;;;1300350
1300351;集屑箱;;;;RAL 7021;1300351
1300351A;集屑箱;;;;RAL 7021;1300351A
1300352;中央承鈑;;;;RAL 7021;1300352
1300352A;中央承鈑;Bracket cover-1;;;;1300352A
1300353;左右承鈑;;;;RAL 7021;1300353
1300354;中央導屑鈑;;;;RAL 7021;1300354
1300354A;中央導屑鈑;Guiding cover;;;;1300354A
1300354B;中央導屑鈑;Guiding cover;;;RAL 7021;1300354B
1300354C;中央導屑鈑;Guiding cover;;;;1300354C
1300355;擋屑鈑;;;;;1300355
1300355A;擋屑鈑;Cover;;;;1300355A
1300355B;擋屑鈑;Cover;;;;1300355B
1300355C;擋屑鈑;Cover;;;;1300355C
1300356;蓋板(排屑機);;;;RAL 7021;1300356
1300357;集油盒;;;;RAL 7021;1300357
1300357A;油水分離盒;Oil skim box;;2tSPCC;RAL 7021;1300357A
1300358;左後護蓋;;;;RAL 7021;1300358
1300359;右後護蓋;;;;RAL 7021;1300359
1300360;左後側門;;;;RAL 7021;1300360
1300361;右後側門;;;;RAL 7021;1300361
1300362;泵浦介面座(高壓);;;;RAL 7021;1300362
1300362A;泵浦介面座(高壓);Pump seat;;;RAL 7021;1300362A
1300362B;泵浦介面座(高壓);Pump seat;;;RAL 7021;1300362B
1300363;封蓋(230X230);Cover;孔型:φ7.0。邊距:07.0。本體:230X230。;;RAL 9002;1300363
1300364;轉軸鈑;;;;RAL 9002;1300364
1300365;側窗擋水鈑;;;;RAL 9002;1300365
1300366;上轉軸;;;;染黑;1300366
1300367;下轉軸;;;;RAL 7021;1300367
1300368;下轉軸蓋鈑;;;;;1300368
1300369;側窗壓鈑;;;;RAL 9002;1300369
1300370;左後蓋鈑(加高150);;;;RAL 7021;1300370
1300370A;左後蓋鈑(加高150);;;;RAL 7021;1300370A
1300371;右後蓋鈑(加高150);;;;RAL 7021;1300371
1300371A;右後蓋鈑(加高150);;;;RAL 7021;1300371A
1300372;前門壓鈑;;;;RAL 7021;1300372
1300373;前門限位鈑;;;;RAL 7021;1300373
1300374;前門上蓋;;;;RAL 7021;1300374
1300375;門擋調整鈑;;;;RAL 7021;1300375
1300376;水槍掛勾;Hook;;;;1300376
1300376A;水槍掛勾;Hook;;;;1300376A
1300377;線槽蓋鈑;Groove cover;;;RAL 9002;1300377
1300378;前門壓鈑墊片;Door spacer;;;RAL 7021;1300378
1300379;副水箱(遠心分離機);Tank;;;RAL 7021;1300379
1300380;副水箱蓋鈑(遠心分離機);Tank cover;;;RAL 7021;1300380
1300381;固定座(遠心分離機);Centrifuge seat;;;RAL 7021;1300381
1300382;刀庫下護罩;;;;RAL 9002;1300382
1300383;刀庫下護罩(德大);Tool magazine cover;;;RAL 9002;1300383
1300384;中央蓋板(皮帶式);Cover;;;;1300384
1300385;擋水鈑;Plate;;;;1300385
1300386;擋水鈑(鏈板式);;;;;1300386
1300387;擋水鈑-1(螺旋式);Plate;;;;1300387
1300388;擋水鈑-2(螺旋式);Plate;;;;1300388
1300389;擋水鈑(鏈板式);;;;RAL 7021;1300389
1300390;防護罩;Cover;;;;1300390
1300391;防屑板;Cover;;;;1300391
1300392;油霧回收機支架;Fixed;;;;1300392
1300393;油霧回收機介面鈑;Interface plate;;;;1300393
1300394;彎管;;ESM90G06-150(鍍鋅90度-口徑150mm)利達空調;;;1300394
1300395;防屑壓板;Fixed;;;;1300395
1300396;前門擋水鈑(左);Front door plate;;;;1300396
1300397;前門擋水鈑(右);Front door plate;;;;1300397
1300398;擋水邊條;Plate;;;;1300398
1300399;水箱;Coolant tank;;;;1300399
1300399A;水箱;Coolant tank;;;RAL 7021;1300399A
1300400;左集屑箱;Screenings box;;;;1300400
1300400A;左集屑箱;Screenings box;;;RAL 7021;1300400A
1300401;蓋鈑(圓盤式);Cover(Disc type);;;;1300401
1300402;左右蓋鈑;Cover;;;;1300402
1300403;中央承鈑;Bracket cover;;;;1300403
1300404;右集屑箱;Screenings box;;;;1300404
1300405;馬達過濾盒;Motor filter box;;;染黑;1300405
1300406;刀庫飾鈑;Tool magazine plate;;;;1300406
1300407;左護罩夾布壓鈑;Left side plate;;;;1300407
1300408;右護罩夾布壓鈑;Right side plate;;;;1300408
1300409;右前門夾布壓鈑;RIght door plate;;;;1300409
1300410;右護罩夾布壓鈑;Plate;;;;1300410
1300411;前門夾布壓鈑;Door plate;;;;1300411
1300412;操作箱(S);Operation box;;;;1300412
1300412A;操作箱(S);Operation box;;;RAL 7021;1300412A
1300413;夾板;Plate;;;RAL 7021;1300413
1300414;蓋鈑(二);Cover-2;;;;1300414
1300415;操作箱面板(一);Plate;;;;1300415
1300416;操作箱面板(二);Plate;;;;1300416
1300417;馬達過濾盒;Motor filter box;;;染黑;1300417
1300417A;馬達過濾盒;Motor filter box;;;染黑;1300417A
1300418;面板;Plate;;;;1300418
1300418A;面板;Plate;;;;1300418A
1300418B;面板;Plate;;2t 鋁板;;1300418B
1300419;操作箱面板;Plate;;;RAL 7021;1300419
1300419A;操作箱面板;Plate;;;RAL 7021;1300419A
1300419B;操作箱面板;Plate;;;RAL 7021;1300419B
1300420;右護罩;Right guard cover;;;;1300420
1300420A;右護罩;Right guard cover;;;;1300420A
1300420B;右護罩;Right guard cover;;;;1300420B
1300420C;右護罩;Right guard cover;;;;1300420C
1300420D;右護罩;Right guard cover;;;;1300420D
1300420E;右護罩;Right guard cover;;2tSPCC;RAL 9002;1300420E
1300420F;右護罩;Right guard cover;;2tSPCC;RAL 9002;1300420F
1300420G;右護罩;Right guard cover;;2tSPCC;RAL 9002;1300420G
1300420H;右護罩;Right guard cover;;2tSPCC;RAL 9002;1300420H
1300420I;右護罩;Right guard cover;;2tSPCC;RAL9002;1300420I
1300420J;右護罩;Right guard cover;;2tSPCC;;1300420J
1300421;左護罩;Left guard cover;;;RAL 7040;1300421
1300421A;左護罩;Left guard cover;;;RAL 7040;1300421A
1300421B;左護罩;Left guard cover;;;RAL 7040;1300421B
1300421C;左護罩;Left guard cover;;2tSPCC;RAL 7021;1300421C
1300421D;左護罩;Left guard cover;;2tSPCC;RAL9002;1300421D
1300421E;左護罩;Left guard cover;;2tSPCC;RAL9002;1300421E
1300422;右側門;Right side door;;;RAL 9002;1300422
1300422A;右側門;Right side door;;2tSPCC;RAL 9002;1300422A
1300423;左側門;Left side door;;;RAL 9002;1300423
1300423A;左側門;Left side door;;2tSPCC;RAL 9002;1300423A
1300424;側窗壓鈑;Plate;;;RAL 9002;1300424
1300425;側門壓克力;Acrylic window;6t*450*630;透明壓克力;;1300425
1300425A;側門壓克力;Acrylic window;6t*452*632;透明壓克力;;1300425A
1300426;側窗擋水鈑;Cover of side door;;;RAL 9002;1300426
1300427;右護罩(加高150);Right guard cover;;;RAL 7040;1300427
1300427A;右護罩(加高150);Right guard cover;;;RAL 7040;1300427A
1300427B;右護罩(加高150);Right guard cover;;;RAL 7040;1300427B
1300427C;右護罩(加高150);Right guard cover;;;RAL 7040;1300427C
1300427D;右護罩(加高150);Right guard cover;;;;1300427D
1300428;左護罩(加高150);Left guard cover;;;RAL 7040;1300428
1300428A;左護罩(加高150);Left guard cover;;;RAL 7040;1300428A
1300428B;左護罩(加高150);Left guard cover;;;RAL 7040;1300428B
1300429;水箱;Water tank;CPV-550/750;;RAL 7021;1300429
1300429A;水箱;Water tank;CPV-550/750;;RAL 7021;1300429A
1300429B;水箱;Water tank;CPV-550/750;;RAL 7021;1300429B
1300429C;水箱;Water tank;CPV-550/750;;RAL 7021;1300429C
1300429D;水箱;Water tank;CPV-550/750;;;1300429D
1300430;集屑箱;Screenings box;;;RAL 7021;1300430
1300430A;集屑箱;Screenings box;;;RAL 7021;1300430A
1300430B;集屑箱;Screenings box;;;RAL 7021;1300430B
1300431;泵浦蓋鈑;Pump cover;;;RAL 7021;1300431
1300431A;泵浦蓋鈑;Pump cover;;;RAL 7021;1300431A
1300432;蓋鈑(圓盤式);Cover(Disc type);;;RAL 7021;1300432
1300432A;蓋鈑(圓盤式);Cover(Disc type);;;RAL 7021;1300432A
1300433;中央蓋鈑;Cover;;;RAL 7021;1300433
1300433A;中央蓋鈑;Cover;;;RAL 7021;1300433A
1300433B;中央蓋鈑;Cover;;;RAL 7021;1300433B
1300434;左右集屑箱;Screenings box;;;RAL 7021;1300434
1300434A;左右集屑箱;Screenings box;;;RAL 7021;1300434A
1300434B;左右集屑箱;Screenings box;;;RAL 7021;1300434B
1300435;上集屑箱;Screenings box;;;染黑;1300435
1300435A;上集屑箱;Screenings box;;;染黑;1300435A
1300435B;上集屑箱;Screenings box;;;染黑;1300435B
1300436;上集屑箱;Screenings box;;;染黑;1300436
1300436A;上集屑箱;Screenings box;;;染黑;1300436A
1300436B;上集屑箱;Screenings box;;;染黑;1300436B
1300437;操作箱後蓋;Cover;;;RAL 7021;1300437
1300438;刀庫下護罩;Tool Magazine Cover;;;;1300438
1300439;主軸頭護罩(BT-30);Spindle head cover;;;RAL 7021;1300439
1300439A;主軸頭護罩(BT-30);Spindle head cover;;;RAL 7021;1300439A
1300439B;主軸頭護罩;Spindle head cover;;2tSPCC;RAL 7021;1300439B
1300440;第四軸介面封蓋;Cover;;;RAL 9002;1300440
1300440A;第四軸介面封蓋;Cover;;;RAL 9002;1300440A
1300440B;第四軸介面封蓋;Cover;;2tSPCC;PN Cool Gray 1C 白灰;1300440B
1300441;右蓋鈑(圓盤式);Cover(Disc type);;;RAL 7021;1300441
1300442;踏板;Plate;CPV-750/SMART-II;;不鏽鋼亮面;1300442
1300443;踏板;Plate;CPV-550/SMART-I;;不鏽鋼亮面;1300443
1300444;防水鈑(活動式);Cover;;;;1300444
1300444A;防水鈑(活動式);Cover;;;RAL 7021;1300444A
1300445;右護罩;Right guard cover;;;;1300445
1300445A;右護罩;Right guard cover;;2tSPCC;RAL 9002;1300445A
1300445B;右護罩;Right guard cover;;2tSPCC;;1300445B
1300446;左護罩;Left guard cover;;;RAL 7040;1300446
1300447;側窗壓克力板;Acrylic window;350x760x3t;3t 透明壓克力;;1300447
1300448;左前門;Left front door;;;RAL 7024;1300448
1300448A;左前門;Left front door;;2tSPCC;RAL 7021;1300448A
1300449;左排屑箱架(一體式);Left tank bracket;;;RAL7021;1300449
1300450;Y前防屑鈑;Cover;;;RAL 7021;1300450
1300451;Y軸擋水鈑(左);Cover of Y-axis (Left);;;RAL 7021;1300451
1300452;Y軸擋水鈑(右);Cover of Y axis(Right);;;RAL 7021;1300452
1300452A;Y軸擋水鈑(右);Cover of Y axis(Right);;;;1300452A
1300453;水箱;Coolant tank;CPV-750;;RAL7021;1300453
1300454;集屑箱;;;;RAL 7021;1300454
1300455;泵浦介面蓋鈑;Pump fixed plate;;;RAL7021;1300455
1300456;水箱蓋鈑(一);Tank cover(一);;;RAL 7021;1300456
1300457;水箱蓋鈑(二);Tank cover(二);;;RAL 7021;1300457
1300458;左右飾鈑;Right plate;;;RAL 7021;1300458
1300459;前飾鈑;Front plate;;;RAL 7021;1300459
1300460;防屑板;Plate;;;噴漆 RAL7021;1300460
1300461;導水板;Guide plate;;;;1300461
1300462;人字紋踏板;Plate;CPV-750/SMART-II;;;1300462
1300463;刀庫下護罩(搭配北鉅);Tool Magazine Cover;;;;1300463
1300464;防水鈑;Cover;;;噴漆 RAL7021;1300464
1300464A;防水鈑;Cover;;2tSPCC;噴漆RAL7021;1300464A
1300465;固定架;Fixed;;;;1300465
1300466;前飾鈑(開口);Front plate;750/SMART-II;;RAL 7021;1300466
1300467;前門壓鈑;Plate;;;RAL7021;1300467
1300468;前飾鈑(開口);Front plate;550/SMART-I;;RAL 7021;1300468
1300469;刀庫下護罩;Tool Magazine Cover;;RAL9002;;1300469
1300470;支撐架;Bracket;;;RAL 7021;1300470
1300471;中央導屑鈑;Guiding cover;;;RAL 7021;1300471
1300471A;中央導屑鈑;Guiding cover;;;PN2757C 藍;1300471A
1300472;左防屑導槽(一);Guidance;;;;1300472
1300473;右防屑導槽(一);Guidance;;;;1300473
1300474;左防屑導槽(二);Guidance;;;;1300474
1300475;右防屑導槽(二);Guidance;;;;1300475
1300476;天井沖屑管;;;;;1300476
1300477;水管支架;;;;;1300477
1300478;防水板;Plate;;;;1300478
1300479;下轉軸蓋板;Cover of rotating shaft;;2tSPCC;RAL 9002;1300479
1300480;副水箱(CTS);Water tank;;;;1300480
1300481;刀庫下護罩（搭配德大）;Tool Magazine Cover;;2tSPCC;噴漆 RAL9002;1300481
1300482;左箱架;Left tank bracket;CPV-750;2tSPCC;RAL 7021;1300482
1300482A;左箱架;Left tank bracket;CPV-750;2tSPCC;噴漆 RAL7021;1300482A
1300483;右箱架;Right tank bracket;CPV-750;2tSPCC;RAL 7021;1300483
1300483A;右箱架;Right tank bracket;CPV-750;2tSPCC;噴漆 RAL7021;1300483A
1300484;左箱架;Left tank bracket;CPV-550;2tSPCC;RAL 7021;1300484
1300484A;左箱架;Left tank bracket;CPV-550;2tSPCC;;1300484A
1300485;右箱架;Right tank bracket;CPV-550;2tSPCC;RAL 7021;1300485
1300485A;右箱架;Right tank bracket;CPV-550;2tSPCC;;1300485A
1300486;右護罩;;CPV-550;2tSPCC;噴漆 RAL9002;1300486
1300486A;右護罩;Right guard cover;CPV-550;2tSPCC;RAL9002;1300486A
1300486B;右護罩;Right guard cover;CPV-550;2tSPCC;RAL 9002;1300486B
1300487;左護罩;;CPV-550;2tSPCC;RAL 9002;1300487
1300488;左護罩(自動門用);Left guard cover;;2tSPCC;噴漆 RAL9002;1300488
1300489;右護罩(自動門用);Right guard cover;;2tSPCC;噴漆 RAL9002;1300489
1300489A;右護罩(自動門用);Right guard cover;;2tSPCC;噴漆 RAL9002;1300489A
1300489B;右護罩(自動門用);Right guard cover;;2tSPCC;噴漆 RAL9002;1300489B
1300490;左前門(自動門用);Left front door;;2tSPCC;噴漆 RAL9002;1300490
1300490A;左前門(自動門用);Left front door;;2tSPCC;噴漆 RAL9002;1300490A
1300491;右前門(自動門用);Right front door;;2tSPCC;噴漆 RAL9002;1300491
1300491A;右前門(自動門用);Right front door;;2tSPCC;;1300491A
1300492;浮動接頭固定座;Fixed;;5tSPCC;染黑;1300492
1300492A;浮動接頭固定座;Fixed;;5tSPCC;;1300492A
1300493;蓋板(自動門用);Cover;;2tSPCC;噴漆 RAL9002;1300493
1300494;人字紋踏板;Plate;CPV-550/SMART-I;2.5t 不銹鋼人字花紋鈑;;1300494
1300495;((未下單可用料號));;;2tSPCC;噴漆 RAL7021;1300495
1300496;刀庫下護罩(搭配北鉅BT-30);Tool Magazine Cover;;2tSPCC;RAL 9002;1300496
1300497;工作台集塵護罩;;;2t SPCC;噴漆 RAL 9002;1300497
1300498;集塵管接座;;;2t SPCC;噴漆 RAL 9002;1300498
1300499;壓克力前板;;;透明壓克力;;1300499
1300500;右護罩(集塵裝置用);;;2t SPCC;噴漆 RAL 9002;1300500
1300500A;右護罩(集塵裝置用);;;2t SPCC;噴漆 RAL 9002;1300500A
1300500B;右護罩(集塵裝置用);;;2t SPCC;噴漆 RAL 9002;1300500B
1300501;左護罩(集塵裝置用);;;2t SPCC;噴漆 RAL 9002;1300501
1300502;漏料口封板;;;2t SPCC;噴漆 RAL 7021;1300502
1300503;Z軸原點支架;;;2t SPCC;噴漆 RAL 7021;1300503
1300504;X/Y軸原點支架;;;2t SPCC;噴漆 RAL 7021;1300504
1300505;固定板;Fixed Plate;110*105*12;SS400;RAL 9002;1300505
1300506;固定架;Fixed Plate;;SS400;RAL 9002;1300506
1300507;左護罩(刀庫自動門);Left guard cover;;2t SPCC;RAL 9002;1300507
1300508;右護罩(操作箱加高200);Right guard cover;;2t SPCC;噴漆 RAL 9002;1300508
1300509;右護罩(操作箱加高200);Right guard cover;;2t SPCC;噴漆 RAL 9002;1300509
