料號;TAG3;TAG9;TAG10;TAG4;TAG8;TAG5
100000032;箱架蓋鈑;Cover;;;RAL 7021;100000032
100000032A;箱架蓋鈑;Cover;;;RAL 7021;100000032A
100000032B;保養區支架蓋鈑;Cover;;;RAL 7021;100000032B
100000033;第四軸介面鈑;Cover;;;RAL 9002;100000033
100000033A;第四軸介面鈑;Cover;;;RAL 9002;100000033A
100000033B;第四軸介面鈑;Cover;;;RAL 9002;100000033B
100000034;上橫桿;Top fixed;;;RAL 9002;100000034
100000034A;上橫桿;Top fixed;;;RAL 9002;100000034A
100000034B;上橫桿;Top fixed;;;RAL 9002;100000034B
100000035;上飾鈑(30T);Cover;;;RAL 9002;100000035
100000035A;上飾鈑(30T);Cover;;;RAL 9002;100000035A
100000036;左護罩;Left side cover;;;RAL 9002;100000036
100000036A;左護罩;Left side cover;;;RAL 9002;100000036A
100000036B;左護罩;Left side cover;;2tSPCC;RAL 9002;100000036B
100000036C;左護罩;Left side cover;;2tSPCC;RAL 9002;100000036C
100000036D;左護罩;Left side cover;;2tSPCC;RAL9002;100000036D
100000036E;左護罩;Left side cover;;2tSPCC;RAL9002;100000036E
100000036F;左護罩;Left side cover;;2tSPCC;PN Cool Gray 1C 白灰;100000036F
100000037;右護罩;Right side cover;;;RAL 9002;100000037
100000037A;右護罩;Right side cover;;;RAL 9002;100000037A
100000037B;右護罩;Right side cover;;2tSPCC;RAL 9002;100000037B
100000037C;右護罩;Right side cover;;2tSPCC;RAL 9002;100000037C
100000037D;右護罩;Right side cover;;2tSPCC;RAL9002;100000037D
100000037E;右護罩;Right side cover;;2t SPCC;RAL 9002;100000037E
100000037F;右護罩;Right side cover;;2t SPCC;PN Cool Gray 1C;100000037F
100000038;前門;Front door;;;RAL 7021;100000038
100000038A;前門;Front door;;;RAL 7021;100000038A
100000038B;前門;Front door;;;RAL 7021;100000038B
100000038C;前門;Front door;;;RAL7021;100000038C
100000038D;前門;Front door;CNV-1050;;PN 2757C 藍;100000038D
100000039;下門軌;Rail;;;染黑;100000039
100000039A;下門軌;Rail;;;染黑;100000039A
100000040;上門軌;Rail;;;RAL 9002;100000040
100000040A;上門軌;Rail;;;RAL 9002;100000040A
100000040B;上門軌;Rail;;;RAL 9002;100000040B
100000040C;上門軌;Rail;;3tSPCC;RAL 9002;100000040C
100000041;前踏鈑;Plate;;;不鏽鋼亮面;100000041
100000042;線槽蓋鈑;Cover;;;RAL 9002;100000042
100000042A;線槽蓋鈑;Cover;;;RAL 9002;100000042A
100000042B;線槽蓋鈑;Cover;;2t SPCC;RAL 9002;100000042B
100000043;左護罩(加高150);Left side cover;;;RAL 9002;100000043
100000043A;左護罩(加高150);Left side cover;;;RAL 9002;100000043A
100000043B;左護罩(加高150);Left side cover;;;RAL 9002;100000043B
100000043C;左護罩(加高150);Left side cover;;;RAL 9002;100000043C
100000043D;左護罩(加高150);Left side cover;;;PN Cool Gray 1C 白灰;100000043D
100000043E;左護罩(加高150);Left side cover;;2t SPCC;RAL 9002;100000043E
100000043F;左護罩(加高150);Left side cover;;2t SPCC;RAL9002;100000043F
100000043G;左護罩(加高150);Left side cover;;2t SPCC;RAL9002;100000043G
100000044;右護罩(加高150);Right side cover;;;RAL 9002;100000044
100000044A;右護罩(加高150);Right side cover;;;RAL 9002;100000044A
100000044B;右護罩(加高150);Right side cover;;;RAL 9002;100000044B
100000044C;右護罩(加高150);Right side cover;;;RAL 9002;100000044C
100000044D;右護罩(加高150);Right side cover;;;PN Cool Gray 1C 白灰;100000044D
100000044E;右護罩(加高150);Right side cover;;;RAL9002;100000044E
100000044F;右護罩(加高150);Right side cover;;;RAL9002;100000044F
100000045;前門(加高150);Front door;;;RAL 7021;100000045
100000045A;前門(加高150);Front door;;;RAL 7021;100000045A
100000045B;前門(加高150);Front door;;;RAL 7021;100000045B
100000045C;前門(加高150);Front door;;;RAL7021;100000045C
100000046;前門防屑鈑(加高150);Chip cover;;;RAL 9002;100000046
100000046A;前門防屑鈑(加高150);Chip cover;;;RAL 9002;100000046A
100000046B;前門防屑鈑(加高150);Chip cover;;2t SPCC;RAL 9002;100000046B
100000046C;前門防屑鈑(加高150);Chip cover;;2t SPCC;RAL9002;100000046C
100000046D;前門防屑鈑(加高150);Chip cover;;2t SPCC;RAL9002;100000046D
100000047;擋水鈑(京華石英);Plate;;;;100000047
100000048;前門(加高150);Front door;;;;100000048
100000049;擋水鈑;Cover;;;;100000049
100000050;擋水壓鈑;Cover;;;;100000050
100000051;介面鈑(Mitsubishi10.4");Interface plate;;;RAL 7021;100000051
100000051A;介面鈑(Mitsubishi10.4");Interface plate;;;RAL 7021;100000051A
100000051B;介面鈑(Mitsubishi10.4");Interface plate;;;RAL 7021;100000051B
100000052;左側窗;Left side door;;;RAL 9002;100000052
100000053;右側窗;Right side door;;;RAL 9002;100000053
100000054;第四軸介面鈑;Cover;;;RAL 9002;100000054
100000055;第四軸介面鈑(Type R);Cover;;;RAL 9002;100000055
100000056;美背鈑金-1;Cover;;;RAL 7021;100000056
100000056A;美背鈑金-1;Cover;;;RAL 7021;100000056A
100000056B;美背鈑金一;Cover;;2tSPCC;RAL 7021;100000056B
