("3" (-0.14 -0.165)(-0.06 -0.085)(-0.02 -0.034)(-0.02 -0.045)(-0.014 -0.024)(-0.014 -0.028)(-0.014 -0.029)(-0.006 -0.012)(-0.006 -0.016)(-0.006 -0.02)(-0.002 -0.006)(-0.002 -0.008)(0 -0.004)(0 -0.006)(0 -0.01)(0 -0.014)(0 -0.025)(0.002 -0.002)(0.003 -0.003)(0.005 -0.005)(0.004 0)(0.006 0)(0.006 0.002)(0.008 0.002)(0.01 0.004)(0.012 0.006)(0.016 0.01)(0.02 0.014)(nil nil)(0.024 0.018)(0.026 0.02))
("100~120"(-0.24 -0.327)(-0.18 -0.267)(-0.12 -0.174)(-0.12 -0.207)(-0.072 -0.107)(-0.072 -0.126)(-0.072 -0.159)(-0.036 -0.058)(-0.036 -0.071)(-0.036 -0.09)(-0.012 -0.027)(-0.012 -0.034)(0 -0.015)(0 -0.022)(0 -0.035)(0 -0.054)(0 -0.087)(0.0075 -0.0075)(0.011 -0.011)(0.017 -0.017)(0.018 0.003)(0.025 0.003)(0.028 0.013)(0.035 0.013)(0.045 0.023)(0.059 0.037)(0.076 0.054)(0.101 0.079)(0.126 0.104)(0.166 0.144)(nil nil))
("120~140"(-0.26 -0.36)(-0.2 -0.3)(-0.145 -0.208)(-0.145 -0.245)(-0.085 -0.125)(-0.085 -0.148)(-0.085 -0.185)(-0.043 -0.068)(-0.043 -0.083)(-0.043 -0.106)(-0.014 -0.032)(-0.014 -0.039)(0 -0.018)(0 -0.025)(0 -0.04)(0 -0.063)(0 -0.1)(0.009 -0.009)(0.0125 -0.0125)(0.02 -0.02)(0.021 0.003)(0.028 0.003)(0.033 0.015)(0.04 0.015)(0.052 0.027)(0.068 0.043)(0.088 0.063)(0.117 0.092)(0.147 0.122)(nil nil)(nil nil))
("140~160"(-0.28 -0.38)(-0.21 -0.31)(-0.145 -0.208)(-0.145 -0.245)(-0.085 -0.125)(-0.085 -0.148)(-0.085 -0.185)(-0.045 -0.068)(-0.043 -0.083)(-0.043 -0.106)(-0.014 -0.032)(-0.014 -0.039)(0 -0.018)(0 -0.025)(0 -0.04)(0 -0.063)(0 -0.1)(0.009 -0.009)(0.0125 -0.0125)(0.02 -0.02)(0.021 0.003)(0.028 0.006)(0.033 0.015)(0.04 0.015)(0.052 0.027)(0.068 0.043)(0.09 0.065)(0.125 0.1)(0.159 0.134)(nil nil)(nil nil))
("160~180"(-0.31 -0.41)(-0.23 -0.33)(-0.145 -0.208)(-0.145 -0.245)(-0.085 -0.125)(-0.085 -0.148)(-0.085 -0.185)(-0.045 -0.068)(-0.043 -0.083)(-0.043 -0.106)(-0.014 -0.032)(-0.014 -0.039)(0 -0.018)(0 -0.025)(0 -0.04)(0 -0.063)(0 -0.1)(0.009 -0.009)(0.0125 -0.0125)(0.02 -0.02)(0.021 0.003)(0.028 0.006)(0.033 0.015)(0.04 0.015)(0.052 0.027)(0.068 0.043)(0.093 0.068)(0.133 0.108)(0.171 0.146)(nil nil)(nil nil))
("180~200"(-0.34 -0.455)(-0.24 -0.355)(-0.17 -0.242)(-0.17 -0.285)(-0.1 -0.146)(-0.1 -0.172)(-0.1 -0.215)(-0.05 -0.079)(-0.05 -0.096)(-0.05 -0.122)(-0.015 -0.035)(-0.015 -0.044)(0 -0.02)(0 -0.029)(0 -0.046)(0 -0.072)(0 -0.115)(0.01 -0.01)(0.0145 -0.0145)(0.023 -0.023)(0.024 0.004)(0.033 0.004)(0.037 0.017)(0.046 0.017)(0.06 0.031)(0.079 0.05)(0.106 0.077)(0.151 0.122)(nil nil)(nil nil)(nil nil))
("200~225"(-0.38 -0.495)(-0.26 -0.375)(-0.17 -0.242)(-0.17 -0.285)(-0.1 -0.146)(-0.1 -0.172)(-0.1 -0.215)(-0.05 -0.079)(-0.05 -0.096)(-0.05 -0.122)(-0.015 -0.035)(-0.015 -0.044)(0 -0.02)(0 -0.029)(0 -0.046)(0 -0.072)(0 -0.115)(0.01 -0.01)(0.0145 -0.0145)(0.023 -0.023)(0.024 0.004)(0.033 0.004)(0.037 0.017)(0.046 0.017)(0.06 0.031)(0.079 0.05)(0.109 0.08)(0.159 0.13)(nil nil)(nil nil)(nil nil))
("225~250"(-0.42 -0.535)(-0.28 -0.395)(-0.17 -0.242)(-0.17 -0.285)(-0.1 -0.146)(-0.1 -0.172)(-0.1 -0.215)(-0.05 -0.079)(-0.05 -0.096)(-0.05 -0.122)(-0.015 -0.035)(-0.015 -0.044)(0 -0.02)(0 -0.029)(0 -0.046)(0 -0.072)(0 -0.115)(0.01 -0.01)(0.0145 -0.0145)(0.023 -0.023)(0.024 0.004)(0.033 0.004)(0.037 0.017)(0.046 0.017)(0.06 0.031)(0.079 0.05)(0.113 0.084)(0.169 0.14)(nil nil)(nil nil)(nil nil))
("250~280"(-0.48 -0.61)(-0.3 -0.43)(-0.19 -0.271)(-0.19 -0.32)(-0.11 -0.162)(-0.11 -0.191)(-0.11 -0.24)(-0.056 -0.088)(-0.056 -0.108)(-0.056 -0.137)(-0.017 -0.04)(-0.017 -0.049)(0 -0.023)(0 -0.032)(0 -0.052)(0 -0.081)(0 -0.13)(0.0115 -0.0115)(0.016 -0.016)(0.026 -0.026)(0.027 0.004)(0.036 0.004)(0.043 0.02)(0.052 0.02)(0.066 0.034)(0.088 0.056)(0.126 0.094)(nil nil)(nil nil)(nil nil)(nil nil))
("280~315"(-0.54 -0.67)(-0.33 -0.46)(-0.19 -0.271)(-0.19 -0.32)(-0.11 -0.162)(-0.11 -0.191)(-0.11 -0.24)(-0.056 -0.088)(-0.056 -0.108)(-0.056 -0.137)(-0.017 -0.04)(-0.017 -0.049)(0 -0.023)(0 -0.032)(0 -0.052)(0 -0.081)(0 -0.13)(0.0115 -0.0115)(0.016 -0.016)(0.026 -0.026)(0.027 0.004)(0.036 0.004)(0.043 0.02)(0.052 0.02)(0.066 0.034)(0.088 0.056)(0.13 0.098)(nil nil)(nil nil)(nil nil)(nil nil))
("315~355"(-0.6 -0.74)(-0.36 -0.5)(-0.21 -0.299)(-0.21 -0.35)(-0.125 -0.182)(-0.125 -0.214)(-0.125 -0.265)(-0.062 -0.098)(-0.062 -0.119)(-0.062 -0.151)(-0.018 -0.043)(-0.018 -0.054)(0 -0.025)(0 -0.036)(0 -0.057)(0 -0.089)(0 -0.14)(0.0125 -0.0125)(0.018 -0.018)(0.028 -0.028)(0.029 0.004)(0.04 0.004)(0.046 0.021)(0.057 0.021)(0.073 0.037)(0.098 0.06)(0.144 0.108)(nil nil)(nil nil)(nil nil)(nil nil))
("355~400"(-0.68 -0.82)(-0.4 -0.54)(-0.21 -0.299)(-0.21 -0.35)(-0.125 -0.182)(-0.125 -0.214)(-0.125 -0.265)(-0.062 -0.098)(-0.062 -0.119)(-0.062 -0.151)(-0.018 -0.043)(-0.018 -0.054)(0 -0.025)(0 -0.036)(0 -0.057)(0 -0.089)(0 -0.14)(0.0125 -0.0125)(0.018 -0.018)(0.028 -0.028)(0.029 0.004)(0.04 0.004)(0.046 0.021)(0.057 0.021)(0.073 0.037)(0.098 0.06)(0.15 0.114)(nil nil)(nil nil)(nil nil)(nil nil))
("400~450"(-0.76 -0.915)(-0.44 -0.595)(-0.23 -0.327)(-0.23 -0.385)(-0.135 -0.198)(-0.135 -0.232)(-0.135 -0.29)(-0.068 -0.108)(-0.068 -0.131)(-0.068 -0.165)(-0.02 -0.047)(-0.02 -0.06)(0 -0.027)(0 -0.04)(0 -0.063)(0 -0.097)(0 -0.155)(0.0135 -0.0135)(0.02 -0.02)(0.031 -0.031)(0.032 0.005)(0.045 0.005)(0.05 0.023)(0.063 0.023)(0.08 0.04)(0.108 0.068)(0.166 0.126)(nil nil)(nil nil)(nil nil)(nil nil))
("450~500"(-0.84 -0.995)(-0.48 -0.635)(-0.23 -0.327)(-0.23 -0.385)(-0.135 -0.198)(-0.135 -0.232)(-0.135 -0.29)(-0.068 -0.108)(-0.068 -0.131)(-0.068 -0.165)(-0.02 -0.047)(-0.02 -0.06)(0 -0.027)(0 -0.04)(0 -0.063)(0 -0.097)(0 -0.155)(0.0135 -0.0135)(0.02 -0.02)(0.031 -0.031)(0.032 0.005)(0.045 0.005)(0.05 0.023)(0.063 0.023)(0.08 0.04)(0.108 0.068)(0.172 0.132)(nil nil)(nil nil)(nil nil)(nil nil))
