("3" (0.18 0.14)(0.085 0.06)(0.1 0.06)(0.034 0.02)(0.045 0.02)(0.06 0.02)(0.024 0.014)(0.028 0.014)(0.039 0.014)(0.012 0.006)(0.016 0.006)(0.02 0.006)(0.008 0.002)(0.012 0.002)(0.006 0)(0.01 0)(0.014 0)(0.025 0)(0.04 0)(0.003 -0.003)(0.005 -0.005)(0 -0.006)(0 -0.01)(-0.002 -0.008)(-0.002 -0.012)(-0.004 0.01)(-0.004 -0.014)(-0.006 -0.012)(-0.006 -0.016)(-0.01 -0.02)(-0.014 -0.024)(nil nil)(-0.018 -0.028)(-0.02 -0.03))
("80~100" (0.36 0.22)(0.257 0.17)(0.31 0.17)(0.174 0.12)(0.207 0.12)(0.260 0.12)(0.107 0.72)(0.126 0.72)(0.159 0.72)(0.058 0.036)(0.071 0.036)(0.09 0.036)(0.034 0.012)(0.047 0.012)(0.022 0)(0.035 0)(0.054 0)(0.087 0)(0.14 0)(0.011 -0.011)(0.017 -0.017)(0.004 -0.018)(0.01 -0.025)(-0.006 -0.028)(0 -0.035)(-0.016 -0.038)(-0.01 -0.045)(-0.03 -0.052)(-0.024 -0.059)(-0.038 -0.073)(-0.058 -0.093)(-0.078 -0.113)(-0.111 -0.146)(nil nil))
("100~120" (0.38 0.24)(0.267 0.18)(0.32 0.18)(0.174 0.12)(0.207 0.12)(0.260 0.12)(0.107 0.72)(0.126 0.72)(0.159 0.72)(0.058 0.036)(0.071 0.036)(0.09 0.036)(0.034 0.012)(0.047 0.012)(0.022 0)(0.035 0)(0.054 0)(0.087 0)(0.14 0)(0.011 -0.011)(0.017 -0.017)(0.004 -0.018)(0.01 -0.025)(-0.006 -0.028)(0 -0.035)(-0.016 -0.038)(-0.01 -0.045)(-0.03 -0.052)(-0.024 -0.059)(-0.041 -0.076)(-0.066 -0.101)(-0.091 -0.126)(-0.131 -0.166)(nil nil))
("120~140" (0.42 0.26)(0.3 0.2)(0.36 0.2)(0.208 0.145)(0.245 0.145)(0.305 0.145)(0.125 0.085)(0.148 0.085)(0.185 0.085)(0.068 0.043)(0.083 0.043)(0.106 0.043)(0.039 0.014)(0.054 0.014)(0.025 0)(0.04 0)(0.063 0)(0.1 0)(0.16 0)(0.0125 -0.0125)(0.02 -0.02)(0.004 -0.021)(0.012 -0.028)(-0.008 -0.033)(0 -0.04)(-0.02 -0.045)(-0.012 -0.052)(-0.036 -0.061)(-0.028 -0.068)(-0.048 -0.088)(-0.077 -0.117)(-0.107 -0.147)(nil nil)(nil nil))
("140~160" (0.44 0.28)(0.31 0.21)(0.37 0.21)(0.208 0.145)(0.245 0.145)(0.305 0.145)(0.125 0.085)(0.148 0.085)(0.185 0.085)(0.068 0.043)(0.083 0.043)(0.106 0.043)(0.039 0.014)(0.054 0.014)(0.025 0)(0.04 0)(0.063 0)(0.1 0)(0.16 0)(0.0125 -0.0125)(0.02 -0.02)(0.004 -0.021)(0.012 -0.028)(-0.008 -0.033)(0 -0.04)(-0.02 -0.045)(-0.012 -0.052)(-0.036 -0.061)(-0.028 -0.068)(-0.05 -0.09)(-0.085 -0.125)(-0.119 -0.159)(nil nil)(nil nil))
("160~180" (0.47 0.31)(0.33 0.23)(0.39 0.23)(0.208 0.145)(0.245 0.145)(0.305 0.145)(0.125 0.085)(0.148 0.085)(0.185 0.085)(0.068 0.043)(0.083 0.043)(0.106 0.043)(0.039 0.014)(0.054 0.014)(0.025 0)(0.04 0)(0.063 0)(0.1 0)(0.16 0)(0.0125 -0.0125)(0.02 -0.02)(0.004 -0.021)(0.012 -0.028)(-0.008 -0.033)(0 -0.04)(-0.02 -0.045)(-0.012 -0.052)(-0.036 -0.061)(-0.028 -0.068)(-0.053 -0.093)(-0.093 -0.133)(-0.131 -0.171)(nil nil)(nil nil))
("180~200" (0.525 0.34)(0.355 0.24)(0.425 0.24)(0.242 0.17)(0.285 0.17)(0.355 0.17)(0.146 0.1)(0.172 0.1)(0.215 0.1)(0.079 0.05)(0.096 0.05)(0.122 0.05)(0.044 0.015)(0.061 0.015)(0.029 0)(0.046 0)(0.072 0)(0.115 0)(0.185 0)(0.0145 -0.0145)(0.023 -0.023)(0.005 -0.024)(0.013 -0.033)(-0.008 -0.037)(0 -0.046)(-0.022 -0.051)(-0.014 -0.06)(-0.041 -0.07)(-0.033 -0.079)(-0.06 -0.106)(-0.105 -0.151)(nil nil)(nil nil)(nil nil))
("200~225" (0.565 0.38)(0.375 0.26)(0.445 0.26)(0.242 0.17)(0.285 0.17)(0.355 0.17)(0.146 0.1)(0.172 0.1)(0.215 0.1)(0.079 0.05)(0.096 0.05)(0.122 0.05)(0.044 0.015)(0.061 0.015)(0.029 0)(0.046 0)(0.072 0)(0.115 0)(0.185 0)(0.0145 -0.0145)(0.023 -0.023)(0.005 -0.024)(0.013 -0.033)(-0.008 -0.037)(0 -0.046)(-0.022 -0.051)(-0.014 -0.06)(-0.041 -0.07)(-0.033 -0.079)(-0.063 -0.109)(-0.113 -0.159)(nil nil)(nil nil)(nil nil))
("225~250" (0.605 0.42)(0.395 0.28)(0.465 0.28)(0.242 0.17)(0.285 0.17)(0.355 0.17)(0.146 0.1)(0.172 0.1)(0.215 0.1)(0.079 0.05)(0.096 0.05)(0.122 0.05)(0.044 0.015)(0.061 0.015)(0.029 0)(0.046 0)(0.072 0)(0.115 0)(0.185 0)(0.0145 -0.0145)(0.023 -0.023)(0.005 -0.024)(0.013 -0.033)(-0.008 -0.037)(0 -0.046)(-0.022 -0.051)(-0.014 -0.06)(-0.041 -0.07)(-0.033 -0.079)(-0.067 -0.133)(-0.123 -0.169)(nil nil)(nil nil)(nil nil))
("250~280" (0.69 0.48)(0.43 0.3)(0.51 0.3)(0.271 0.19)(0.32 0.19)(0.4 0.19)(0.162 0.11)(0.191 0.11)(0.24 0.11)(0.088 0.056)(0.108 0.056)(0.137 0.056)(0.049 0.017)(0.069 0.017)(0.032 0)(0.052 0)(0.081 0)(0.13 0)(0.21 0)(0.016 -0.016)(0.026 -0.026)(0.005 -0.027)(0.016 -0.036)(-0.009 -0.041)(0 -0.052)(-0.025 -0.057)(-0.014 -0.066)(-0.047 -0.079)(-0.036 -0.088)(-0.074 -0.126)(nil nil)(nil nil)(nil nil)(nil nil)(nil nil))
("280~315" (0.75 0.54)(0.46 0.33)(0.54 0.33)(0.271 0.19)(0.32 0.19)(0.4 0.19)(0.162 0.11)(0.191 0.11)(0.24 0.11)(0.088 0.056)(0.108 0.056)(0.137 0.056)(0.049 0.017)(0.069 0.017)(0.032 0)(0.052 0)(0.081 0)(0.13 0)(0.21 0)(0.016 -0.016)(0.026 -0.026)(0.005 -0.027)(0.016 -0.036)(-0.009 -0.041)(0 -0.052)(-0.025 -0.057)(-0.014 -0.066)(-0.047 -0.079)(-0.036 -0.088)(-0.078 -0.130)(nil nil)(nil nil)(nil nil)(nil nil))
("315~355" (0.83 0.6)(0.5 0.36)(0.59 0.36)(0.299 0.21)(0.35 0.21)(0.44 0.21)(0.182 0.125)(0.214 0.125)(0.265 0.125)(0.098 0.062)(0.119 0.062)(0.151 0.062)(0.054 0.018)(0.075 0.018)(0.036 0)(0.057 0)(0.089 0)(0.14 0)(0.23 0)(0.018 -0.018)(0.028 -0.028)(0.007 -0.029)(0.017 -0.04)(-0.01 -0.046)(0 -0.057)(-0.026 -0.062)(-0.016 -0.073)(-0.051 -0.087)(-0.041 -0.098)(-0.087 -0.114)(nil nil)(nil nil)(nil nil)(nil nil))
("355~400" (0.91 0.68)(0.54 0.40)(0.63 0.40)(0.299 0.21)(0.35 0.21)(0.44 0.21)(0.182 0.125)(0.214 0.125)(0.265 0.125)(0.098 0.062)(0.119 0.062)(0.151 0.062)(0.054 0.018)(0.075 0.018)(0.036 0)(0.057 0)(0.089 0)(0.14 0)(0.23 0)(0.018 -0.018)(0.028 -0.028)(0.007 -0.029)(0.017 -0.04)(-0.01 -0.046)(0 -0.057)(-0.026 -0.062)(-0.016 -0.073)(-0.051 -0.087)(-0.041 -0.098)(-0.093 -0.15)(nil nil)(nil nil)(nil nil)(nil nil))
("400~450" (1.01 0.76)(0.595 0.44)(0.69 0.44)(0.327 0.23)(0.385 0.23)(0.48 0.23)(0.198 0.135)(0.232 0.135)(0.29 0.135)(0.108 0.068)(0.131 0.068)(0.165 0.068)(0.06 0.02)(0.083 0.02)(0.04 0)(0.063 0)(0.097 0)(0.115 0)(0.250 0)(0.02 -0.02)(0.031 -0.031)(0.08 -0.032)(0.018 -0.045)(-0.01 -0.05)(0 -0.063)(-0.027 -0.067)(-0.017 -0.08)(-0.055 -0.095)(-0.045 -0.108)(-0.103 -0.166)(nil nil)(nil nil)(nil nil)(nil nil))
("450~500" (1.09 0.84)(0.63 0.48)(0.73 0.48)(0.327 0.23)(0.385 0.23)(0.48 0.23)(0.198 0.135)(0.232 0.135)(0.29 0.135)(0.108 0.068)(0.131 0.068)(0.165 0.068)(0.06 0.02)(0.083 0.02)(0.04 0)(0.063 0)(0.097 0)(0.115 0)(0.250 0)(0.02 -0.02)(0.031 -0.031)(0.08 -0.032)(0.018 -0.045)(-0.01 -0.05)(0 -0.063)(-0.027 -0.067)(-0.017 -0.08)(-0.055 -0.095)(-0.045 -0.108)(-0.109 -0.172)(nil nil)(nil nil)(nil nil)(nil nil))
